time, GPSUTC, GPSdate, accelX, accelY, accelZ, gyroX, gyroY, gyroZ, temp, accelPitch, accelRoll, gyroAngleChangeX, gyroAngleChangeY, gyroAngleChangeZ, headingCompensation, pitch, roll, heading, GPSlat, GPSlon, GPScrs, GPSspd
0,0,0,-3500,984,16128,-27,1,9,34,-0.2137,0.0609364,-2.87621e-06,1.06526e-07,9.58738e-07,0.25129,-0.0213726,0.00609373,0.25129,0,0,0,0;
0.248855,0,0,-3476,928,16304,-31,3,-5,33,-0.210054,0.0568572,-3.30232e-06,3.19579e-07,-5.32632e-07,0.256883,-0.0402438,0.0111704,0.256883,0,0,0,0;
0.565301,0,0,-3332,944,16328,-48,-7,-4,34,-0.201303,0.0577505,-5.11327e-06,-7.45685e-07,-4.26106e-07,0.264488,-0.0563543,0.0158277,0.264488,0,0,0,0;
0.86009,0,0,-3352,948,16352,-23,14,6,34,-0.202189,0.0579097,-2.45011e-06,1.49137e-06,6.39159e-07,0.283794,-0.07094,0.0200373,0.283794,0,0,0,0;
1.09847,0,0,-3484,968,16368,-52,4,16,34,-0.209724,0.059071,-5.53938e-06,4.26106e-07,1.70442e-06,0.276327,-0.0848234,0.023941,0.276327,0,0,0,0;
1.28704,0,0,-3388,1008,16356,-19,20,5,34,-0.204252,0.0615509,-2.024e-06,2.13053e-06,5.32632e-07,0.294485,-0.0967681,0.0277039,0.294485,0,0,0,0;
1.45802,0,0,-3452,964,16348,-37,1,18,33,-0.2081,0.0588993,-3.94148e-06,1.06526e-07,1.91748e-06,0.300171,-0.107905,0.0308235,0.300171,0,0,0,0;
1.63373,0,0,-3372,888,16096,-30,1,-5,34,-0.206507,0.0551131,-3.19579e-06,1.06526e-07,-5.32632e-07,0.298923,-0.117768,0.0332526,0.298923,0,0,0,0;
1.82444,0,0,-3400,868,16320,-43,30,3,34,-0.205395,0.0531362,-4.58064e-06,3.19579e-06,3.19579e-07,0.298923,-0.126535,0.0352438,0.298923,0,0,0,0;
2.02865,0,0,-3352,940,16236,-24,-1,-11,33,-0.203594,0.0578315,-2.55663e-06,-1.06526e-07,-1.17179e-06,0.318121,-0.134243,0.0375025,0.318121,0,0,0,0;
2.2359,0,0,-3452,840,16316,-19,-9,1,34,-0.208497,0.0514378,-2.024e-06,-9.58738e-07,1.06526e-07,0.313621,-0.14167,0.0388952,0.313621,0,0,0,0;
2.44166,0,0,-3560,868,16304,-13,-4,-5,33,-0.214977,0.0531883,-1.38484e-06,-4.26106e-07,-5.32632e-07,0.313621,-0.149002,0.0403241,0.313621,0,0,0,0;
2.643,0,0,-3436,996,16380,-19,-4,-5,34,-0.20677,0.0607311,-2.024e-06,-4.26106e-07,-5.32632e-07,0.324451,-0.154781,0.0423644,0.324451,0,0,0,0;
2.84308,0,0,-3436,948,16264,-20,17,-8,34,-0.208203,0.0582224,-2.13053e-06,1.81095e-06,-8.52212e-07,0.278689,-0.160125,0.0439518,0.278689,0,0,0,0;
3.04029,0,0,-3500,916,16128,-34,12,7,33,-0.2137,0.0567347,-3.6219e-06,1.27832e-06,7.45685e-07,0.330841,-0.165486,0.0452313,0.330841,0,0,0,0;
3.23751,0,0,-3388,984,16088,-15,22,-13,33,-0.207559,0.0610875,-1.5979e-06,2.34358e-06,-1.38484e-06,0.330841,-0.169694,0.046819,0.330841,0,0,0,0;
3.43826,0,0,-3372,960,16148,-4,2,-26,34,-0.20586,0.0593802,-4.26106e-07,2.13053e-07,-2.76969e-06,0.335324,-0.173311,0.0480753,0.335324,0,0,0,0;
3.63906,0,0,-3384,924,16196,-23,7,-18,34,-0.205977,0.0569893,-2.45011e-06,7.45685e-07,-1.91748e-06,0.340718,-0.17658,0.0489674,0.340718,0,0,0,0;
3.8392,0,0,-3408,900,16140,-18,19,-40,34,-0.208096,0.0557044,-1.91748e-06,2.024e-06,-4.26106e-06,0.344371,-0.179733,0.0496429,0.344371,0,0,0,0;
4.03821,0,0,-3440,992,16256,-34,29,-13,34,-0.208538,0.060948,-3.6219e-06,3.08927e-06,-1.38484e-06,0.351714,-0.182617,0.0507762,0.351714,0,0,0,0;
4.23869,0,0,-3384,1052,16092,-30,-6,12,34,-0.207271,0.0652812,-3.19579e-06,-6.39159e-07,1.27832e-06,0.343408,-0.185085,0.0522261,0.343408,0,0,0,0;
4.43962,0,0,-3420,1000,16148,-37,4,2,34,-0.208707,0.0618482,-3.94148e-06,4.26106e-07,2.13053e-07,0.343605,-0.187451,0.0531887,0.343605,0,0,0,0;
4.63892,0,0,-3388,956,16248,-37,9,-16,34,-0.205572,0.0587703,-3.94148e-06,9.58738e-07,-1.70442e-06,0.328919,-0.189267,0.0537477,0.328919,0,0,0,0;
4.8399,0,0,-3428,1084,16180,-26,9,-25,33,-0.208779,0.0668963,-2.76969e-06,9.58738e-07,-2.66316e-06,0.33993,-0.19122,0.0550635,0.33993,0,0,0,0;
5.04073,0,0,-3444,1012,16068,-26,-3,9,34,-0.211144,0.0628992,-2.76969e-06,-3.19579e-07,9.58738e-07,0.339767,-0.193215,0.0558467,0.339767,0,0,0,0;
5.24034,0,0,-3404,784,15968,-18,19,-1,33,-0.210032,0.0490588,-1.91748e-06,2.024e-06,-1.06526e-07,0.34534,-0.194899,0.0551698,0.34534,0,0,0,0;
5.43977,0,0,-3412,1204,16260,-27,27,-30,33,-0.206839,0.0739119,-2.87621e-06,2.87621e-06,-3.19579e-06,0.289846,-0.196095,0.0570466,0.289846,0,0,0,0;
5.63904,0,0,-3408,988,15900,-11,12,-23,34,-0.211145,0.0620586,-1.17179e-06,1.27832e-06,-2.45011e-06,0.349747,-0.197601,0.0575489,0.349747,0,0,0,0;
5.83796,0,0,-3220,924,16308,-30,13,-20,34,-0.194942,0.0565988,-3.19579e-06,1.38484e-06,-2.13053e-06,0.351714,-0.197338,0.0574552,0.351714,0,0,0,0;
6.03992,0,0,-3480,956,16248,-35,-1,3,34,-0.210992,0.0587703,-3.72843e-06,-1.06526e-07,3.19579e-07,0.348036,-0.198707,0.0575866,0.348036,0,0,0,0;
6.23934,0,0,-3420,1016,16244,-12,17,10,34,-0.207509,0.0624648,-1.27832e-06,1.81095e-06,1.06526e-06,0.359108,-0.199588,0.058076,0.359108,0,0,0,0;
6.43854,0,0,-3404,992,16196,-5,8,3,34,-0.20716,0.0611733,-5.32632e-07,8.52212e-07,3.19579e-07,0.351714,-0.200346,0.0583865,0.351714,0,0,0,0;
6.63901,0,0,-3496,772,16136,-18,1,-9,34,-0.213361,0.0478069,-1.91748e-06,1.06526e-07,-9.58738e-07,0.346313,-0.201649,0.0573286,0.346313,0,0,0,0;
6.84016,0,0,-3520,776,16188,-22,-15,-6,34,-0.214112,0.0479001,-2.34358e-06,-1.5979e-06,-6.39159e-07,0.344168,-0.202898,0.0563844,0.344168,0,0,0,0;
